freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,HU	9908798 	9877365 	9855571 	9830485 	9797561 	9778371 	: 	: 	: 	: 
A,DE1001V,HU001C	1735711 	1744665 	1757618 	1759407 	1752704 	1749734 	1752286 	1750216 	1723836 	1706851 
A,DE1001V,HU002C	162905 	161265 	159554 	158101 	157177 	155650 	154521 	152901 	150695 	147480 
A,DE1001V,HU003C	118185 	118164 	118125 	118058 	117689 	117121 	116799 	116814 	116554 	115521 
A,DE1001V,HU004C	147719 	146581 	145985 	145347 	144675 	144188 	142873 	141843 	140237 	138420 
A,DE1001V,HU005C	204333 	203914 	203506 	203059 	201981 	202214 	201432 	201112 	200974 	199725 
A,DE1001V,HU006C	161837 	161921 	162593 	162621 	161137 	161122 	160766 	160258 	159074 	157372 
A,DE1001V,HU007C	128567 	128902 	129372 	129568 	129301 	130094 	132038 	133946 	132735 	132111 
A,DE1001V,HU008C	111863 	112071 	111836 	111724 	110813 	110638 	110687 	110373 	109651 	108817 
A,DE1001V,HU009C	99247 	99060 	98673 	98207 	97617 	97382 	96940 	96529 	95545 	94893 
A,DE1001V,HU010C	77547 	77566 	77866 	77973 	78025 	77984 	78407 	78591 	78324 	77970 
A,DE1001V,HU011C	: 	: 	72786 	72333 	71765 	71521 	71285 	70554 	69725 	68774 
A,DE1001V,HU012C	: 	: 	66791 	66362 	65849 	65633 	65845 	66141 	65145 	64305 
A,DE1001V,HU013C	: 	: 	60761 	60392 	59919 	59754 	59738 	59119 	58153 	57145 
A,DE1001V,HU014C	: 	: 	60334 	60126 	59732 	59357 	58996 	58654 	58002 	57299 
A,DE1001V,HU015C	: 	: 	63742 	63186 	62446 	61920 	61441 	60656 	59777 	58633 
A,DE1001V,HU016C	: 	: 	54609 	54480 	53876 	53436 	52898 	51894 	51168 	50032 
A,DE1001V,HU017C	: 	: 	46052 	45354 	44640 	44358 	44200 	43310 	42136 	41103 
A,DE1001V,HU018C	: 	: 	58959 	58829 	58154 	57780 	57403 	56722 	55470 	55037 
A,DE1001V,HU019C	: 	: 	61780 	61887 	62246 	62454 	62671 	63065 	62900 	62116 
